Ticker,Description
AUD Curncy,Australian Dollar
AUD1M Curncy,Australian Dollar
EUR Curncy,Euro
EUR1M Curncy,Euro
JPY Curncy,Japanese Yen
JPY1M Curncy,Japanese Yen
GBP Curncy,Pound Sterling
GBP1M Curncy,Pound Sterling
CAD Curncy,Canadian Dollar
CAD1M Curncy,Canadian Dollar
CHF Curncy,Swiss Franc
CHF1M Curncy,Swiss Franc
SEK Curncy,Swedish Krona
SEK1M Curncy,Swedish Krona
CNY Curncy,Chinese Yuan
CNH1M Curncy,Chinese Yuan
MXN Curncy,Mexican Peso
MXN1M Curncy,Mexican Peso
NZD Curncy,New Zealand Dollar
NZD1M Curncy,New Zealand Dollar
SGD Curncy,Singapore Dollar
SGD1M Curncy,Singapore Dollar
HKD Curncy,Hong Kong Dollar
HKD1M  Curncy,Hong Kong Dollar
NOK Curncy,Norwewgian Krone
NOK1M Curncy,Norwewgian Krone
KRW Curncy,South Korean Won
KRW1M Curncy,South Korean Won
TRY Curncy,Turkish Iira
TRY1M Curncy,Turkish Iira
INR Curncy,Indian Rupee
INR1M Curncy,Indian Rupee
RUB Curncy,Russian Ruble
RUB1M Curncy,Russian Ruble
BRL Curncy,Brazilian Real
BRL1M Curncy,Brazilian Real
ZAR Curncy,South African Rand
ZAR1m Curncy,South African Rand
